Carnobacterium mobile DSM 4848
Rhabdonatronobacter sediminivivens
Gramella jeungdoensis
Hyla sarda
Ancylobacter amanitiformis
Prevotella disiens
Candida morakotiae
Trichoderma gracile
Hallella faecis
Brevibacterium salitolerans
Carica papaya
Nonomuraea glycinis
Craspedacusta sowerbii
Oryzias celebensis
Pseudomonas mucoides
Ligilactobacillus pabuli
Bathymodiolus heckerae
Desmognathus fuscus
Agriades optilete
Methanobrevibacter smithii ATCC 35061
Chitinophaga fulva
Convolutriloba macropyga
Thermithiobacillus tepidarius DSM 3134
Vreelandella subglaciescola
Pseudomonas allii
Faecalibacterium hattorii
Leptolyngbya iicbica LK
Massilia aerilata
Herbiconiux aconitum
Chryseobacterium antibioticum
Haliotis cracherodii
Rummeliibacillus suwonensis
Sporosarcina koreensis
Sutcliffiella halmapala
Ctenodiscus crispatus
Limosilactobacillus panis DSM 6035
Haloferax litoreum
Tolumonas osonensis
Panax stipuleanatus
Campoletis raptor
Hymenobacter metallilatus
Ocimum basilicum
Nycticorax nycticorax
Cryobacterium glucosi
Micromelo scriptus
Amaranthus tricolor
Myuchelys georgesi
Ascochyta viciae
Paraburkholderia nodosa DSM 21604
Streptococcus acidominimus
Liriomyza trifolii
Ornithomya fringillina
Gadiculus argenteus
Halobiforma nitratireducens JCM 10879
Geotrichum macrosporum
Teratosphaeria pseudoeucalypti
Tricholaema leucomelas
Natronincola ferrireducens
Nocardioides malaquae
Selenomonas artemidis DSM 19719
Erythroxylum mucronatum
Naso vlamingii
Salina celebensis
Streptomyces cinnamoneus
Lederbergia citrisecunda
Bowmanella denitrificans
Bradyrhizobium cenepequi
Bombyx mori
Halovivax asiaticus JCM 14624
Ralstonia edaphis
Pseudaeromonas sharmana
Lethrinus nebulosus
Penicillium ochrochloron
Vibrio comitans
Pseudomonas serboccidentalis
Falsirhodobacter deserti
Amoebidium appalachense
Spirogloea muscicola
Oceanobacillus aidingensis
Accipiter melanoleucus
Occultella glacieicola
Vireo osburni
Halomonas garicola
Pontibacter actiniarum
Dasysyrphus tricinctus
Aequorivita sinensis
Lactobacillus delbrueckii subsp. jakobsenii ZN7a-9 = DSM 26046
Agrenia bidenticulata
Paractinoplanes tereljensis
Arcobacter arenosus
Novumbra hubbsi
Petrocephalus sullivani
Photobacterium indicum
Candidatus Puniceispirillum marinum IMCC1322
Candidatus Palibaumannia cicadellinicola
Leptinotarsa lineolata
Nocardioides immobilis
Neolamprologus walteri
Poicephalus gulielmi
Porphyrio hochstetteri
Linaria vulgaris
Terriglobus saanensis SP1PR4
Entomortierella beljakovae
Circus pygargus
Halobaculum roseum
Phocaeicola dorei
Methylobacillus arboreus
Trametes maxima
Pullulanibacillus camelliae
Saccharomycopsis capsularis
Sclerurus mexicanus
Sparassis crispa
Deroceras lasithionense
Hypsibarbus vernayi
Streptomyces koyangensis
Larus argentatus
Conidiobolus coronatus NRRL 28638
Elizabethkingia argenteiflava
Acacia pycnantha
Mobiluncus curtisii ATCC 43063
Saturnispora besseyi
Alicyclobacillus sacchari
Phaeophila floridearum
Sphingomonas psychrolutea
Leccinum glutinopallens
Caenorhabditis tropicalis
Salinicola aestuarinus
Sphingomonas segetis
Variovorax defluvii
Rhizobium etli CFN 42
Scandinavium goeteborgense
Mesobacillus stamsii
Desulfovibrio mangrovi
Candidatus Megaera venefica
Actinoplanes lutulentus
Thermothelomyces myriococcoides
Planobispora rosea
Octadecabacter algicola
Blastobotrys muscicola
Calosoma granatense
Acinetobacter guillouiae
Dawidia cretensis
Filobasidium uniguttulatum
Devosia crocina
Microbacterium commune
Discolaimus major
Kokia kauaiensis
Theocolax elegans
Brucella pseudogrignonensis
Diogma glabrata
Halorarum salinum
Ephemeroptericola cinctiostellae
Gordonia aquimaris
Planosporangium flavigriseum
Amphiplicatus metriothermophilus
Blochmannia endosymbiont of Camponotus modoc
Hemiscyllium ocellatum
Oncopodura yosiiana
Sporothrix humicola
Agathobaculum ammoniilyticum
Trichomonascus apis
Legionella feeleii
Ogataea parapolymorpha DL-1
Wolbachia endosymbiont of Dipetalonema caudispina
Thermincola ferriacetica
Trichlorobacter thiogenes
Massilia soli
Novosphingobium chloroacetimidivorans
Lydus trimaculatus
Lactobacillus kullabergensis
Chryseobacterium nakagawai
Okapia johnstoni
Brassica rapa x Raphanus sativus
Neopusillimonas maritima
Symbiodinium pilosum
Terrisporobacter hibernicus
Pulveribacter suum
Myiothlypis coronata
Streptomyces mutabilis
Lautropia mirabilis
Desulfovibrio porci
Pelodiscus sinensis
Roseofilum halophilum BLCC-M91
Ruthalicia longipes
Actinomyces graevenitzii C83
Homolaphlyctis polyrhiza JEL 142
Myriophyllum alterniflorum
Mrakia gelida
Toxicocladosporium irritans
Nematolebias whitei
[Candida] pseudofarinosa
Algibacillus agarilyticus
Plectus exinocaudatus
Roseateles chitinivorans
Sphingomonas pokkalii
Rhynchotus rufescens
Cotesia typhae
Microbacterium nymphoidis
Colletotrichum shisoi
Ottowia cancrivicina
Catoptria pinella
Rhizopogon roseolus
Mariniblastus fucicola
Acropora yongei
Elsinoe arachidis
Martiniozyma abietophila
Cacajao melanocephalus
Acinetobacter pollinis
Bifidobacterium aquikefiricola
Candidatus Ulvibacter alkanivorans
Pelagibaculum spongiae
Tachycineta bicolor
Aeromonas tecta
Inocybe geophylla
Anaspis maculata
Accipiter hiogaster
Desulfobulbus propionicus DSM 2032
Quercus engelmannii
Bathybates ferox
Bombella mellum
Legionella norrlandica
Roseococcus pinisoli
Alloacidobacterium dinghuense
Ectopseudomonas khazarica
Colistium nudipinnis
Cupriavidus alkaliphilus
Pseudonocardia lacus
Reticulibacter mediterranei
Scythris empetrella
Mycobacterium yunnanensis
Bregmaceros cantori
Lentilactobacillus dabitei
Pediococcus argentinicus
Crataegus laevigata
Sulfurisphaera ohwakuensis
Pseudarthrobacter scleromae
Rhodanobacter humi
Streptomyces achromogenes
Methyloceanibacter superfactus
Streptomyces mangrovisoli
Vibrio japonicus
Crespoa crozalsiana
Corynebacterium suedekumii
Brachybacterium halotolerans subsp. kimchii
Halophytophthora batemanensis
Pectinatus frisingensis
Bugula neritina
Claviceps lovelessii
Streptomyces daghestanicus
Brycinus nurse
Thermoanaerobacter ethanolicus JW 200
Odontoponera transversa
Vibrio palustris
Formica aserva
Halomonas denitrificans
Marinilactibacillus piezotolerans
Mammaliicoccus fleurettii
Marinagarivorans algicola
Aggregatibacter actinomycetemcomitans
Fulvivirga maritima
Mochlonyx cinctipes
Neolamprologus marunguensis
Cellulomonas soli
Caradrina clavipalpis
Neisseria musculi
Coccidioides immitis RS
Tenacibaculum dicentrarchi
Trypethelium eluteriae
Citeromyces siamensis
Moritella viscosa
Poicephalus rufiventris
Chitinimonas viridis
Caranx ignobilis
Virgibacillus siamensis
Phyto melanocephala
Phrynobatrachus minutus
Polynucleobacter acidiphobus
Wolbachia endosymbiont of Drosophila subpulchrella
Caldicellulosiruptor diazotrophicus
Mycobacterium sherrisii
Aedoeadaptatus coxii
Penicillium manginii
Thalassobaculum litoreum DSM 18839
Hylobates pileatus
Marinobacterium alkalitolerans
Solidesulfovibrio carbinolicus
Puffinus mauretanicus
Saccharomonospora halophila 8
Iodobacter ciconiae
Enteromius anoplus
Nitrincola tibetensis
Halostella limicola
Corynebacterium yudongzhengii
Hymenobacter amundsenii
Kodamaea ohmeri
Liquorilactobacillus capillatus DSM 19910
Oleomonas cavernae
Phylloscopus schwarzi
Chromatium okenii
Desulfobulbus oralis
Papiliotrema fonsecae
Aspergillus bridgeri
Marinoscillum pacificum
Paenibacillus selenitireducens
Liquidambar formosana
Trichoderma citrinoviride
Anoxynatronum buryatiense
Sediminibacillus dalangtanensis
Craseonycteris thonglongyai
Oceaniferula flava
Apaloderma vittatum
Halochromatium glycolicum
Hassar affinis
Streptomyces rochei
Panulirus homarus
Piper longum
Podila epigama
Calephelis perditalis
Pacificimonas pallii
Pumilibacter intestinalis
Candidatus Pantoea communis
Sebastes melanops
Ectothiorhodospira marina
Bradyrhizobium sediminis
Pachyrhizus erosus
Pseudomonas fulva
Nyctalus aviator
Rambutanura hunanensis
Hallella multisaccharivorax DSM 17128
Thymus mandschuricus
Mixia osmundae IAM 14324
Thladiantha cordifolia
Brevundimonas diminuta
Arenimonas composti TR7-09 = DSM 18010
Citrobacter bitternis
Drymonia ruficornis
Luteimonas soli
Paenibacillus methanolicus
Noctua pronuba
Deminuibacter soli
Mycobacterium senriense
Teredinibacter waterburyi
Erysiphe neolycopersici
Lestremia cinerea
Flavobacterium chilense
Astatotilapia calliptera
Candida parablackwelliae
Cercocebus atys
Trichoderma carraovejensis (nom. inval.)
Ustanciosporium gigantosporum
Oligia strigilis
Streptomyces lasiicapitis
Geminisphaera colitermitum TAV2
Lysinibacillus piscis
Rhamphochromis esox
Sphingomonas aurantiaca
Brucella pituitosa
Chryseobacterium zhengzhouense
Adineta ricciae
Fusarium sororula
Sediminibacillus massiliensis
Altererythrobacter rubellus
Streptomyces longispororuber
Hyaloscypha finlandica
Dendropsophus ebraccatus
Borrelia anserina Es
Endocronartium harknessii PhW48OC
Chorisops tibialis
Streptomyces changanensis
Darevskia unisexualis
Roseovarius halotolerans
Citrobacter tructae
Peronospora matthiolae
Acinetobacter rathckeae
Merluccius polli
Photobacterium leiognathi subsp. mandapamensis
Hibiscus tridactylites
Emesis angularis
Acetobacter oeni
Ogataea thermomethanolica (nom. inval.)
Malassezia brasiliensis
Marinobacter salexigens
Craterocephalus fluviatilis
Umimayanthus nakama
Turnera subulata
Celeribacter marinus
Candidatus Riesia pediculicola USDA
Roseicitreum antarcticum
Lanistes nyassanus
Alkalihalobacillus bogoriensis ATCC BAA-922
Desulfobacula toluolica Tol2
Chrysaora fuscescens
Natronococcus zhouii
Streptomyces griseosporeus
Thamnocephalis sphaerospora
Anaerosolibacter carboniphilus
Catostylus mosaicus
Cyberlindnera mrakii
Mycolicibacterium peregrinum
Lutibacter aestuarii
Paenibacillus dakarensis
Mora moro
Agrobacterium cavarae
Apodemia walkeri
Ruegeria marisrubri
Butyricicoccus faecihominis
Agastache rugosa
Salinithrix halophila
Capsicum baccatum var. pendulum
Geophilus flavus
Bacillus capparidis
Lentilactobacillus diolivorans DSM 14421
Phalcoboenus megalopterus
Bacteroides fluxus YIT 12057
Musca autumnalis
Thermomonas beijingensis
Trametes coccinea BRFM310
Triparma retinervis
Neisseria gonorrhoeae
Solanum stenotomum
Desulfosporosinus hippei DSM 8344
Aquisalimonas asiatica
Amanita molliuscula
Flavobacterium nackdongense
Quercus parvula
Hyunsoonleella rubra
Dacryopinax spathularia
Clostridium thermarum
Brevibacterium renqingii
Desmognathus balsameus
Panonychus citri
Xylaria palmicola
Mycoplasma seminis
Pandoraea morbifera
Leucoma salicis
Physcomitrium patens
Devosia faecipullorum
Striga asiatica
Tepidiphilus olei
Drosophila flavopinicola
Geoglossum cookeanum
Eucalyptus globulus
Thalassotalea crassostreae
Populus ilicifolia
Cryptocheilus praepositus
Cryptosporidium baileyi
Paenibacillus alvei
Lentisalinibacter orientalis
Nicrophorus vespilloides
Neisseria iguanae
Curtobacterium ammoniigenes NBRC 101786
Roseospira marina
Alkalibacillus salilacus
Myroides odoratimimus
Phytopythium boreale
Halopiger goleimassiliensis
Basidiobolus ranarum
Halorussus salinus
Agaribacter flavus
Sphagnum jensenii
Hawksworthiomyces lignivorus
Lacticaseibacillus thailandensis DSM 22698 = JCM 13996
Pseudomonas taeanensis MS-3
Phyllostachys edulis
Methanofollis aquaemaris
Mortierella antarctica
Amycolatopsis orientalis
Amanita bisporigera
Caenimonas aquaedulcis
Delftia lacustris
Candidatus Magnetominusculus xianensis
Arabis montbretiana
Delftia acidovorans SPH-1
Wolbachia endosymbiont (group A) of Trypoxylon clavicerum
Cyberlindnera jadinii NRRL Y-1542
Chlorocebus sabaeus
Sugiyamaella marilandica
Lacticaseibacillus manihotivorans
Sebastes nebulosus
Lithocarpus polystachyus
Mycolicibacterium vaccae 95051
Actinokineospora fastidiosa
Rahnella rivi
Thiobaca trueperi
Oryzibacter oryziterrae
Abyssisolibacter fermentans
Odynerus spinipes
Candidatus Tisiphia endosymbiont of Empis tessellata
Streptomyces roseicoloratus
Gluconobacter wancherniae NBRC 103581
Nocardia veterana NBRC 100344
Actinokineospora globicatena
Pseudolysinimonas yzui
Mycolicibacterium pallens
Globisporangium ultimum DAOM BR144
Kodamaea laetipori
Dirofilaria immitis
Nocardioides convexus
Bartonella queenslandensis
Kocuria soli
Pseudovibrio denitrificans
Caballeronia terrestris
Escherichia coli str. K-12 substr. MG1655
Hymenoscyphus laetus
Sphingomonas lycopersici
Torymus sinensis
Halopseudomonas gallaeciensis
Fructilactobacillus ixorae
Polyblastidium squamulosum
Metamycoplasma subdolum
Limosilactobacillus urinaemulieris
Luteipulveratus flavus
Enterococcus avium
Stappia sediminis
Wolbachia endosymbiont (group B) of Dendrolimus pini
Ambystoma opacum
Corynebacterium haemomassiliense
Ralstonia pseudosolanacearum
Digitonthophagus gazella
Photorhabdus kayaii
Houttuynia cordata
Tessaracoccus massiliensis
Duncaniella freteri
Sugiyamaella lignohabitans
Antarcticibacterium arcticum
Satarupa nymphalis
Mycobacterium gastri
Talaromyces purpureogenus
Mesobacillus jeotgali
Salinicoccus albus DSM 19776
Erythroxylum glaucum
Ophiocordyceps camponoti-floridani
Spiroplasma chrysopicola DF-1
Sodaliphilus pleomorphus
Thermocoleostomius sinensis A174
Clostridium saccharobutylicum DSM 13864
Zoanthus sanctaehelenae
Epilithonimonas ginsengisoli
Aratinga jandaya
Ancylobacter defluvii
Paramicrobacterium fandaimingii
Drosophila sordidapex
Streptomyces gramineus
Salipiger mangrovisoli
Autochton longipennis
Delftia deserti
Candidatus Tisiphia endosymbiont of Piscicola geometra
Pseudidiomarina maritima
Streptomyces zingiberis
Cyanophora paradoxa
Roseovarius pelagicus
Marinospirillum insulare DSM 21763
Pedobacter faecalis
Pleurotus tuber-regium
Lysobacter soyae
Mentha suaveolens
Fusarium xylarioides
Agarophyton chilense
Larus smithsonianus
Buddleja alternifolia
Actinoplanes sandaracinus
Jamesozyma rosinii
Ruminococcus flavefaciens ATCC 19208
Sphingobacterium chuzhouense
Mopalia muscosa
Allocatelliglobosispora scoriae
Allobacillus halotolerans
Pentalonia nigronervosa
Acidicapsa dinghuensis
Fusarium zanthoxyli
Gordonia insulae
Boletus smithii
Hydroisotoma schaefferi
Amphiura filiformis
Oryza officinalis
Sulfurifustis variabilis
Sinotaia quadrata
Curvularia hawaiiensis
Ramalina peruviana
Paenibacillus wulumuqiensis
Morchella snyderi
Trachelus iudaicus
Paecilomyces formosus
Leccinum insigne
Microstomus kitt
Spilogale interrupta
Phalloceros spiloura
Gamszarea kalimantanensis
Caloboletus inedulis
Gryllus longicercus
Wolbachia endosymbiont (group A) of Sicus ferrugineus
Fusarium solani-melongenae
Thraustotheca clavata
Galaxias brevipinnis
Onychomys arenicola
Wolbachia endosymbiont (group A) of Pherbina coryleti
Fragilaria crotonensis
Nomada ferruginata
Emergomyces pasteurianus Ep9510
Martes foina
Flagellimonas lutimaris
Rheinheimera marina
Drosophila biarmipes
Aestuariibacter salexigens DSM 15300
Andrena chrysosceles
Natrinema versiforme JCM 10478
Nymphalis polychloros
Pelistega suis
Streptomyces polygonati
Bombus soroeensis
Mycena sanguinolenta
Auritidibacter ignavus
Pseudoalteromonas xiamenensis
Heterostelium multicystogenum
Millerozyma farinosa
Halomarina halobia
Nissolia schottii
Oceanimonas smirnovii ATCC BAA-899
Philornis downsi
Kerstersia similis
Olsenella porci
Salinigranum salinum
Hominibacterium faecale
Vibrio stylophorae
Sphingorhabdus pulchriflava
Actinomadura chibensis
Drosophila monieri
Anadara tuberculosa
endosymbiont of Euscepes postfasciatus
Phaonia angelicae
Clostridium diolis
Metschnikowia lochheadii
Pseudidiomarina planktonica
Choanephora cucurbitarum
Periweissella cryptocerci
Polyphagotarsonemus latus
Craterilacuibacter sinensis
Sebastes levis
Macromonas nakdongensis
Nakazawaea anatomiae
Chenopodium opulifolium
Lucifera butyrica
Litchfieldia salsa
Hirundo rustica
Hansschlegelia zhihuaiae
Filimonas lacunae
Candidatus Enterovibrio altilux
Marinobacterium aestuariivivens
Enteromius argenteus
Mycobacterium timonense
Artocarpus heterophyllus
Leucobacter celer subsp. astrifaciens
Madracis senaria
Brevirhabdus pacifica
Flexamia atlantica
Microbacterium phycohabitans
Acipenser ruthenus
Capilliphycus salinus ALCB114379
Flexivirga caeni
Malus fusca
Xanthomonas protegens
Agapornis fischeri
Amycolatopsis jejuensis
Domibacillus tundrae
Mycoplasmopsis lipophila
Parengyodontium torokii
Mannheimia glucosida
Phillyrea angustifolia
Baileychromis centropomoides
Blautia argi
Hyphomicrobium zavarzinii ATCC 27496
Romboutsia lituseburensis DSM 797
Desulfosporosinus nitroreducens
Heyndrickxia ginsengihumi
Scandinavium lactucae
Stenotrophomonas nitritireducens
Globisporangium sylvaticum
Nocardioides dubius
Thermococcus paralvinellae
Vaginisenegalia massiliensis
Ramlibacter paludis
Erythroxylum ulei
Azospirillum rugosum
Blastobotrys elegans
Pyrus ussuriensis x Pyrus communis
Sporisorium exsertum
Calocybe indica
Pyramidobacter porci
Legionella clemsonensis
Xanthomonas cassavae CFBP 4642
Globisporangium spinosum
Comamonas flocculans
Microbispora fusca
Telmatactis stephensoni
Helicobacter ailurogastricus
Poecile montanus
Corticium candelabrum
Diadumene cincta
Chryseobacterium indologenes
Zymoseptoria pseudotritici STIR04_4.3.1
Paraconexibacter antarcticus
Epilithonimonas caeni DSM 17710
Fundulus heteroclitus
Anaerococcus vaginimassiliensis
Solenopsis invicta
Marinobacter daqiaonensis
Metabacillus litoralis
Naganishia randhawae
Alcanivorax hongdengensis A-11-3
[Candida] silvicultrix
Nocardiopsis metallicus
Lepidocyrtus paradoxus
Sphingobacterium haloxyli
Metschnikowia kipukae
Victivallis lenta
Silybum marianum
Aspergillus pseudoglaucus
Gordonia liuliyuniae
Mucor irregularis B50
Podarcis pityusensis
Quercus petraea
Wickerhamomyces queroliae
Bhargavaea cecembensis DSE10
Pelargonium cotyledonis
Euclidium syriacum
Paramyrothecium roridum
Alisma plantago-aquatica
Zoysia pacifica
Flavobacterium antarcticum DSM 19726
Rhopaloeides odorabile
Pseudomonas tensinigenes
Ponticoccus litoralis
Aureitalea marina
Ellagibacter isourolithinifaciens
Pseudevernia cladonia
Corvus kubaryi
Margaritifera margaritifera
Phocaeicola coprocola
Diopsittaca nobilis
Veillonella faecalis
Actinomadura vinacea
Halobacterium yunchengense
Arcanobacterium phocisimile
Accipiter madagascariensis
Streptomyces demainii
Flavobacterium pallidum
Ernsta dromus
Psittacula longicauda
Streptomyces olivaceoviridis
Cupido alcetas
Niveibacterium umoris
Wickerhamiella galacta
Schlesneria paludicola DSM 18645
Sphingobacterium thalpophilum
Drosophila differens
Kingella pumchi
Sepiola affinis
Binderoboletus segoi
Priestia filamentosa
Bacteroides stercoris ATCC 43183
Meiosimyza platycephala
Cereibacter sphaeroides 2.4.1
Robiginitalea sediminis
Rhodocyclus gracilis
Alkalicoccus luteus
Geothrix alkalitolerans
Candidatus Phytoplasma meliae
Atlantirivulus jurubatibensis
Wolbachia endosymbiont of Rhagoletis cerasi
Bogoriella caseilytica
Costus lasius
Pelagibacterium sediminicola
Siphonodentalium dalli
Venturia pyrina ICMP 11032
Prevotella phocaeensis
Pyrenophora graminea
Halalkalibacter flavus
Halobacillus rhizosphaerae
Undibacterium oligocarboniphilum
Metaplanococcus flavidus
Nesterenkonia sphaerica
Copidosoma floridanum
Novosphingobium ginsenosidimutans
Bifidobacterium mongoliense DSM 21395
Actinomadura nitritigenes
Marinomonas pontica
Phytophthora asiatica
Alexandromys fortis
Gadus chalcogrammus
Bifidobacterium callimiconis
Ogataea trehaloabstinens
Novosphingobium lindaniclasticum LE124
Diplodus puntazzo
Nidula niveotomentosa
Arthrobacter terricola
Juglans cinerea
Leptidea sinapis
Aspergillus intermedius
Lentisphaera araneosa HTCC2155
Baeotis zonata zonata
Parolsenella massiliensis
Mola mola
Pectobacterium fontis
Cricetibacter osteomyelitidis
Polygonum aviculare
Hoolock leuconedys
Oryzobacter telluris
Candidatus Nitronereus thalassa
Kuraishia molischiana
Fastidiosipila sanguinis
Streptomyces spiralis
Streptomyces vilmorinianum
Dichetophora obliterata
Conus canariensis
Amoeboradix gromovi
Helminthosporium solani
Indoaustriella scarlatoi
Pseudomonas fuscovaginae
Sporobolus alterniflorus
Phlyctis speirea
Pseudolysinimonas kribbensis
Rhinolophus affinis
Thauera chlorobenzoica
Hymenobacter sediminis
Myroides pelagicus
Mixta calida
Mysoria sejanus stolli
Thymus quinquecostatus
Erebia pharte
Halomonas nitroreducens
Crotalus helleri
Amazona auropalliata
Dyella humicola
Malimbus malimbicus
Falsochrobactrum ovis
Nocardia pseudobrasiliensis
Megasphaera micronuciformis F0359
Pontimonas salivibrio
Phrynocephalus forsythii
Motilibacter peucedani
Paenibacillus marchantiae
Urbifossiella limnaea
Alkalicoccobacillus murimartini
Corynebacterium freiburgense
Flavobacterium algoritolerans
Ptychadena robeensis
Metschnikowia australis
Luteimonas marina
Streptomyces deccanensis
Terrimonas rubra
Candidatus Nanosyncoccus nanoralicus
Streptomyces galilaeus
Pseudomonas anuradhapurensis
Pseudois nayaur
Virgibacillus senegalensis
Davidsoniella virescens
Mycolicibacterium komanii
Spongiactinospora rosea
